Year,Data
1990,25.22444588
1991,25.26784937
1992,25.33215208
1993,25.42163591
1994,25.54039469
1995,25.58098096
1996,25.62187597
1997,25.65874263
1998,25.69585702
1999,25.73338569
2000,25.77267603
2001,25.96578167
2002,26.15952115
2003,26.35537573
2004,26.54829119
2005,26.73910668
2006,26.07617374
2007,25.41144487
2008,24.74634531
2009,24.08465239
2010,23.42889143
2011,22.51141161
2012,21.60687697
2013,21.434936
2014,21.26549088
2015,21.10002613
2016,20.94039284
2017,20.78303057
2018,20.63079697
2019,21.2131704
2020,19.96493305
2021,20.34797916
