Year,Labor Force
1990 [YR1990],40.48659036
1991 [YR1991],40.64880317
1992 [YR1992],40.55615183
1993 [YR1993],40.33741218
1994 [YR1994],40.3564288
1995 [YR1995],40.33001674
1996 [YR1996],40.31111858
1997 [YR1997],40.51789252
1998 [YR1998],40.51608467
1999 [YR1999],40.41674092
2000 [YR2000],40.41376094
2001 [YR2001],40.60870297
2002 [YR2002],40.62688832
2003 [YR2003],40.70025509
2004 [YR2004],40.94723965
2005 [YR2005],41.06550423
2006 [YR2006],41.17139788
2007 [YR2007],41.19460976
2008 [YR2008],41.34791079
2009 [YR2009],41.6305972
2010 [YR2010],41.75458003
2011 [YR2011],41.78113346
2012 [YR2012],41.90448938
2013 [YR2013],42.40643037
2014 [YR2014],42.5981053
2015 [YR2015],42.8391062
2016 [YR2016],43.15308872
2017 [YR2017],43.5095068
2018 [YR2018],43.93553426
2019 [YR2019],44.24421543
2020 [YR2020],44.20338147
2021 [YR2021],44.38164835
