Year,Data
1990,23.95607339
1991,24.65106097
1992,25.35119668
1993,26.05659871
1994,26.76634869
1995,27.47952238
1996,28.20645041
1997,28.25844662
1998,28.31078996
1999,28.3627845
2000,28.41338332
2001,28.4610888
2002,28.50771423
2003,28.55818912
2004,28.6173602
2005,28.68989467
2006,28.81579757
2007,28.9506973
2008,29.08711231
2009,29.21278703
2010,29.32044916
2011,29.37956027
2012,29.48751867
2013,29.60205581
2014,29.72647871
2015,29.86227169
2016,29.99342417
2017,30.13499803
2018,30.28563482
2019,30.44126528
2020,29.93131121
2021,30.12807103
