Year,Data
1990,19.47267163
1991,19.26695914
1992,19.09049848
1993,18.77213556
1994,18.63376572
1995,19.39156742
1996,20.36531495
1997,21.42388215
1998,22.54797648
1999,23.71317841
2000,22.64022175
2001,21.56668381
2002,20.50438568
2003,19.45916304
2004,18.4380922
2005,17.44375598
2006,16.47624017
2007,15.54051146
2008,14.63753651
2009,13.77037788
2010,12.94140096
2011,11.67644643
2012,10.50952243
2013,9.434981422
2014,8.453624282
2015,8.332548926
2016,8.283120947
2017,8.257285423
2018,8.259236508
2019,8.267545079
2020,8.270223529
2021,8.147725087
